Age,User-ID
8.0,288
9.0,335
10.0,121
11.0,214
12.0,377
13.0,671
14.0,1635
15.0,1689
16.0,2202
17.0,3113
18.0,4410
19.0,3044
20.0,3474
21.0,4027
22.0,5711
23.0,7676
24.0,7641
25.0,9149
26.0,9797
27.0,9424
28.0,10904
29.0,13484
30.0,10081
31.0,10702
32.0,10719
33.0,11081
34.0,10530
35.0,8937
36.0,8877
37.0,8782
38.0,8044
39.0,6515
40.0,6255
41.0,5706
42.0,5406
43.0,8084
44.0,7382
45.0,4039
46.0,5668
47.0,7001
48.0,3562
49.0,6280
50.0,3876
51.0,4551
52.0,9877
53.0,2862
54.0,3742
55.0,2383
56.0,2462
57.0,3903
58.0,1828
59.0,1580
60.0,1738
61.0,1403
62.0,1062
63.0,1875
64.0,729
65.0,963
66.0,674
67.0,694
68.0,458
69.0,464
70.0,351
71.0,417
72.0,349
73.0,209
74.0,195
75.0,139
76.0,152
77.0,82
78.0,85
79.0,74
80.0,71
