,Publisher
0, Editions P. Terrail
1, Tri-State Press
2,'K' Pub
3,"(3 Queen Sq., WC1N 3AU), Faber and Faber Ltd"
4,"(49 Poland St., W.1), BPC Unit 75"
5,10-18
6,10/18
7,10/18 UGE
8,10/18 Uge
9,1001 nuits
10,101 Productions
11,"101 Productions; [distributed by Scribner, New York]"
12,"101 Productions; distributed by Scribner, New York"
13,10K Gold Promotions
14,10x18
15,11/9 Publishing
16,1stBooks Library
17,2 13 61
18,2.13.61 Publications
19,219 Press
20,21st Century
21,21st Century Information
22,21st Century Press
23,21st Century Publications
24,22/7 Publishing Company
25,"22nd. Century, New York"
26,29th Street Press
27,"2nd Avenue Publishing, Inc."
28,3
29,3 S Fitness Group Ltd
30,30 Day Gourmet Press
31,300Incredible.com
32,300incredible.com
33,37547
34,3D Press
35,"3H Productions, Inc."
36,3f Publications
37,3rd Bed
38,3rd Woman Press
39,5 Star Publications
40,7 i Mig Editorial
41,7 i Mig editorial de poesia
42,A  B Book Dist Inc
43,A  B Distributors
44,A  C Black (Publishers) Ltd
45,A  W Pub
46,A  W Visual Library
47,A C P Pub Pty Ltd
48,A Crossings Book Club Edition
49,A Different Voice Publishing Co.
50,A Disney/Bantam Books
51,A Fireside Book/Simon and Schuster
52,A Golden Book
53,A H M Publications
54,A J K Publishing
55,"A Jove Book, Berkley Publishing"
56,A K Pr Distribution
57,A New Hope Pub
58,A Plume Book
59,A R Hari
60,A S Barnes And Company Inc
61,A Scholastic/Madison Prss Book
62,A Signet Book
63,A V Pubns
64,A W Publ
65,A&amp;C Black
66,A&amp;R Classics
67,A&amp;W Visual Library
68,A&amp;b Publishers Group
69,A.  A. Farmar
70,A.  C. Black
71,"A.  C. Black, Ltd."
72,A.  M. Muchnik
73,A. A. Knopf
74,A. Barker
75,A. Bernhardt Pub. Co
76,A. Bonnier
77,A. Bonniers
78,A. Bonniers fÃ¶rlag
79,A. Borough Books
80,A. D. Clarke Publishers
81,A. Deutsch
82,A. Hardy Enterprises
83,A. J. Holman Co
84,A. J. Muste Memorial Institute
85,A. Knaus
86,A. Kunstmann
87,A. Lane
88,A. Michel
89,A. Mondadori
90,A. Mondadori Editore
91,A. Mondadori editore
92,A. Romero
93,A. S. Barnes
94,A. S. Barnes and Co
95,A. Salani
96,A. Sutton
97,A. Sutton Pub
98,A. Whitman
99,A.J. Cornell Publicaitons
100,A.M.W. Publications
101,A.Mondadori
102,A.R.E. Press
103,A.R.E. Press (Association of Research  Enlig
104,A.T.E
105,AA Publishing
106,AAA
107,AAA Road Atlas
108,AAAI Press
109,AB Publishing
110,ABC Books
111,ABC Daytime Press
112,ABC Enterprises for the Australian Broadcasting Corp
113,ABC-Clio Inc
114,ABC/The All Children's Co.
115,ABI Press
116,ABM Publishing Company
117,"ACA Books, American Council for the Arts"
118,"ACA Publications, Inc."
119,ACE Charter
120,ACS Publications
121,ACT
122,ACTA Publications
123,ACW Press
124,ADC The Map People
125,ADV Manga
126,AEON
127,AFG (Al Anon Family Group)
128,AG Press Publishing
129,AGA Publishing
130,AGS
131,AHA! Process
132,AIMS International Books
133,AIT-Planet Lar
134,AK Audio
135,"AK Peters, Ltd."
136,AK Press
137,AM
138,AMACOM
139,AMACOM New Media
140,AMC Publishing
141,AMCAL
142,AMEX/Time Warn
143,AMG Publishers
144,AMI Books
145,AMPHOTO
146,AMS Press
147,AOA Press
148,APA Publications
149,APress
150,ARC Publications
151,ARCO
152,ARPR
153,ASA
154,ASK Productions
155,ASQ Quality Press
156,AT Verlag
157,AUGUSTUS VLG IM WELTBILD
158,AVON
159,AVON Books
160,AZ Editores
161,Aa Publishing
162,Aah-Ha! Books Inc.
163,Aalida Book Publishers
164,Aardvark
165,Aardwolf Publishing
166,Aardwolfe Books
167,Aare
168,Aba Professional Education
169,Abacus
170,Abacus (UK)
171,Abacus Press
172,Abacus Software
173,Abacus Software Inc
174,Abacus Uk
175,Abbeville Kids
176,Abbeville Press
177,Abbey Home Media Group Plc
178,Abbey Library
179,Abbey Press
180,Abbey Publishing
181,Abbott Bentley
182,Abc-Clio Inc
183,Abdo  Daughters Publishing
184,Abdo Pub Co
185,Abdo Pub Co (E)
186,Abe Lincoln Press
187,Abel Press
188,Abelard-Schuman
189,Ability Workshop Pr
190,Abingdon
191,Abingdon Pr
192,Abingdon Press
193,Abiogenesis Press
194,Able Inc
195,Ablex Publishing
196,About Comics
197,"About Comics, LLC"
198,Abradale Press
199,Abradale/Abrams
200,Abraham-Hicks Publications
201,Abrams
202,"Abrams, N"
203,Absolute Press
204,Abson Books
205,Abstract Sounds
206,"Abstract Studio, Incorporated"
207,"Acacia Press, Inc."
208,Acacia Pub. Corp.
209,Acada Books
210,Academic Industries Inc.
211,Academic Pr
212,Academic Press
213,Academic Resources Corp
214,Academic Skills Centre Trent U
215,Academic Therapy Publications
216,Academic Therapy Pubns
217,Academy Chicago Pub
218,Academy Chicago Publishers
219,Academy Editions (UK)
220,Acadiensis Press
221,"Acamedia Press, a division of CareWise, Inc."
222,Acanto
223,Accelerated Christian Education
224,Accelerated Development
225,Accent Books
226,Accent Publications
227,"Accents On Health, Inc."
228,Access Press
229,Access Press (HarperCollins)
230,Access Pub Network
231,Access Publishers Network
232,Accion Divulgativa
233,AcciÃ³n Divulgativa
234,Acclaim Books
235,Acclaim Entertainment
236,Acclaimed Books
237,Accolade Books
238,Accord Publishing
239,Accurate Press
240,Ace
241,Ace Books
242,Ace Trade
243,AceCo Publishers
244,Acento Editorial
245,Achievement Pr
246,Acid Test Productions
247,Acme Pr
248,Acme Press
249,Acolyte Media
250,Acorn Book Company
251,Acorn Books
252,Acorn Media Publishing
253,Acorn Publishing
254,Acrobat Books
255,Acropolis Books
256,Acropolis Books (GA)
257,Acropolis Books Inc
258,"Acropolis Books, Inc."
259,Acs Pubns
260,Acta Pubns
261,Actar
262,Actes Sud
263,Actes Sud / Junior
264,Actes Sud Jeunesse
265,Actes Sud Junior
266,Actes sud
267,Actes sud-Papiers
268,Action Press
269,Active Parenting Publishers
270,Active Synapse
271,"Acumen House, LLC."
272,Ad Vice Marketing Inc
273,Adagio Press
274,Adam Smith Institute
275,Adama Books
276,"Adamis International, Incorporated"
277,Adams  Ambrose Pub
278,Adams Hall Pub
279,Adams Media Corp
280,Adams Media Corporation
281,Adams Media+corporation
282,Adams Pub Co
